codice,tipo,nome,istituto,comune,provincia,indirizzo,telefono,email,email_utilizzabile,sito,alunni,distanza_km,minuti_auto
NA1A58600G,infanzia paritaria,La Sirenetta,,Poggiomarino,NA,"Via XXIV Maggio 541, 80040 Poggiomarino (NA)",081 5284276,lasirenettascuola@gmail.com,sì,,28,0.9,2
NAAA18705G,infanzia statale,Boccia al Mauro,Circolo Didattico,Terzigno,NA,"Corso Alessandro Volta, 80040 Terzigno (NA)",081 8271941,naee18700g@istruzione.it,sì,https://www.scuolaprimariaterzigno.edu.it,40,3.4,8
NAAA18701B,infanzia statale,Capoluogo,Circolo Didattico,Terzigno,NA,"Via Gionti 11, 80040 Terzigno (NA)",081 8271941,naee18700g@istruzione.it,sì,https://www.scuolaprimariaterzigno.edu.it,129,3.4,8
NAAA18703D,infanzia statale,Palazzo Allocca,Circolo Didattico,Terzigno,NA,"Via Gionti 6, 80040 Terzigno (NA)",081 8271941,naee18700g@istruzione.it,sì,https://www.scuolaprimariaterzigno.edu.it,16,3.4,8
NAAA18702C,infanzia statale,Rosa Miranda,Circolo Didattico,Terzigno,NA,"Via Leoncavallo, 80040 Terzigno (NA)",081 8271941,naee18700g@istruzione.it,sì,https://www.scuolaprimariaterzigno.edu.it,37,3.4,8
NAAA18706L,infanzia statale,Viale Bifulco,Circolo Didattico,Terzigno,NA,80040 Terzigno (NA),081 8271941,naee18700g@istruzione.it,sì,https://www.scuolaprimariaterzigno.edu.it,18,3.4,8
NAEE18703P,primaria statale,Boccia al Mauro,Circolo Didattico,Terzigno,NA,"Via Nazionale 557, 80040 Terzigno (NA)",081 8271941,naee18700g@istruzione.it,sì,https://www.scuolaprimariaterzigno.edu.it,117,3.4,8
NAEE18701L,primaria statale,Capoluogo,Circolo Didattico,Terzigno,NA,"Via Gionti 11, 80040 Terzigno (NA)",081 8271941,naee18700g@istruzione.it,sì,https://www.scuolaprimariaterzigno.edu.it,161,3.4,8
NAEE187103,primaria statale,Palazzo Allocca,Circolo Didattico,Terzigno,NA,80040 Terzigno (NA),081 8271941,naee18700g@istruzione.it,sì,https://www.scuolaprimariaterzigno.edu.it,129,3.4,8
NAEE18707V,primaria statale,Rosa Miranda,Circolo Didattico,Terzigno,NA,"Via Leon Cavallo, 80040 Terzigno (NA)",081 8271941,naee18700g@istruzione.it,sì,https://www.scuolaprimariaterzigno.edu.it,115,3.4,8
NAEE18708X,primaria statale,Viale Bifulco,Circolo Didattico,Terzigno,NA,"Viale Bifulco, 80040 Terzigno (NA)",081 8271941,naee18700g@istruzione.it,sì,https://www.scuolaprimariaterzigno.edu.it,76,3.4,8
NAAA8C3015,infanzia statale,Sant'Antonio,IC Giusti,Terzigno,NA,"Via Sant'Antonio, 80040 Terzigno (NA)",081 8272333,naic8c3008@istruzione.it,sì,https://www.icsgiusti.it,45,3.4,8
NAEE8C301A,primaria statale,Sant'Antonio,IC Giusti,Terzigno,NA,"Via Sant'Antonio, 80040 Terzigno (NA)",081 8272333,naic8c3008@istruzione.it,sì,https://www.icsgiusti.it,85,3.4,8
NA1A65500R,infanzia paritaria,Fantasylandia,,Terzigno,NA,"Via Vanvitelli 141, 80040 Terzigno (NA)",081 5297290,fantasylandiaass@gmail.com,sì,,10,3.4,8
NA1A4P500P,infanzia paritaria,Percorsi Per,,Terzigno,NA,"Via Panoramica 2, 80040 Terzigno (NA)",081 3388516,percorsipercoop@pec.it,no: casella PEC,,,3.4,8
NA1A165003,infanzia paritaria,Sant'Antonio,,Terzigno,NA,"Via Sant'Antonio 39, 80040 Terzigno (NA)",081 8271800,infanzia_santantonio@virgilio.it,sì,,25,3.4,8
NAAA17703V,infanzia statale,Ceschelli,1° Circolo Didattico,San Giuseppe Vesuviano,NA,"Via Ceschelli, 80047 San Giuseppe Vesuviano (NA)",081 8271660,naee177001@istruzione.it,sì,https://www.primocircolosangiuseppevesuviano.edu.it,107,4.3,9
NAAA177129,infanzia statale,Rione Ionna,1° Circolo Didattico,San Giuseppe Vesuviano,NA,"Via Boccia, 80047 San Giuseppe Vesuviano (NA)",081 8271660,naee177001@istruzione.it,sì,https://www.primocircolosangiuseppevesuviano.edu.it,30,4.3,9
NAAA17702T,infanzia statale,Via Ceci,1° Circolo Didattico,San Giuseppe Vesuviano,NA,80047 San Giuseppe Vesuviano (NA),081 8271660,naee177001@istruzione.it,sì,https://www.primocircolosangiuseppevesuviano.edu.it,72,4.3,9
NAEE177023,primaria statale,Belvedere,1° Circolo Didattico,San Giuseppe Vesuviano,NA,"Via Belvedere, 80047 San Giuseppe Vesuviano (NA)",081 8271660,naee177001@istruzione.it,sì,https://www.primocircolosangiuseppevesuviano.edu.it,164,4.3,9
NAEE177012,primaria statale,Capoluogo,1° Circolo Didattico,San Giuseppe Vesuviano,NA,"Piazza Risorgimento 16, 80047 San Giuseppe Vesuviano (NA)",081 8271660,naee177001@istruzione.it,sì,https://www.primocircolosangiuseppevesuviano.edu.it,310,4.3,9
NAEE177034,primaria statale,Rossilli,1° Circolo Didattico,San Giuseppe Vesuviano,NA,"Via Ceci, 80047 San Giuseppe Vesuviano (NA)",081 8271660,naee177001@istruzione.it,sì,https://www.primocircolosangiuseppevesuviano.edu.it,192,4.3,9
NAAA8FJ019,infanzia statale,Pace,IC 3 Ceschelli,San Giuseppe Vesuviano,NA,"Via Scudieri, 80047 San Giuseppe Vesuviano (NA)",081 5295203,naic8fj00c@istruzione.it,sì,https://comprensivoterzoceschelli.edu.it,21,4.3,9
NAAA8FJ04C,infanzia statale,Rione Mattiuli,IC 3 Ceschelli,San Giuseppe Vesuviano,NA,"Via Mattiuli Presso Rione Nappi, 80047 San Giuseppe Vesuviano (NA)",081 8271988,naic8fj00c@istruzione.it,sì,https://comprensivoterzoceschelli.edu.it,6,4.3,9
NAAA8FJ03B,infanzia statale,Rione Nappi,IC 3 Ceschelli,San Giuseppe Vesuviano,NA,"Via Nappi Rione Nappi, 80047 San Giuseppe Vesuviano (NA)",081 8271988,naic8fj00c@istruzione.it,sì,https://comprensivoterzoceschelli.edu.it,25,4.3,9
NAAA8FJ02A,infanzia statale,Santa Maria la Scala,IC 3 Ceschelli,San Giuseppe Vesuviano,NA,"Via Ungaretti, 80047 San Giuseppe Vesuviano (NA)",081 8271988,naic8fj00c@istruzione.it,sì,https://comprensivoterzoceschelli.edu.it,23,4.3,9
NAEE8FJ01E,primaria statale,Casilli,IC 3 Ceschelli,San Giuseppe Vesuviano,NA,"Via Passnati 112, 80047 San Giuseppe Vesuviano (NA)",081 8285274,naic8fj00c@istruzione.it,sì,https://www.comprensivoterzoceschelli.it,237,4.3,9
NAEE8FJ03L,primaria statale,Luonghi,IC 3 Ceschelli,San Giuseppe Vesuviano,NA,"Via Mattiuli Presso Rione Nappi, 80047 San Giuseppe Vesuviano (NA)",081 8271988,naic8fj00c@istruzione.it,sì,https://www.comprensivoterzoceschelli.it,20,4.3,9
NAEE8FJ04N,primaria statale,Nappi,IC 3 Ceschelli,San Giuseppe Vesuviano,NA,"Via Nappi Rione Nappi, 80047 San Giuseppe Vesuviano (NA)",081 8271988,naic8fj00c@istruzione.it,sì,https://www.comprensivoterzoceschelli.it,80,4.3,9
NAEE8FJ02G,primaria statale,Pace,IC 3 Ceschelli,San Giuseppe Vesuviano,NA,"Via Scudieri, 80047 San Giuseppe Vesuviano (NA)",081 8274292,naic8fj00c@istruzione.it,sì,https://www.comprensivoterzoceschelli.it,28,4.3,9
NAEE8FJ05P,primaria statale,Santa Maria la Scala,IC 3 Ceschelli,San Giuseppe Vesuviano,NA,"Via Ungaretti, 80047 San Giuseppe Vesuviano (NA)",081 8271988,naic8fj00c@istruzione.it,sì,https://www.comprensivoterzoceschelli.edu.it,97,4.3,9
NAAA8HM012,infanzia statale,Croce Rossa,IC Ammendola-De Amicis,San Giuseppe Vesuviano,NA,"Via Crocce Rossa, 80047 San Giuseppe Vesuviano (NA)",081 8271161,naic8hm005@istruzione.it,sì,https://www.icammendoladeamicis.edu.it,44,4.3,9
NAAA8HM023,infanzia statale,San Leonardo,IC Ammendola-De Amicis,San Giuseppe Vesuviano,NA,"Via San Leonardo 2, 80047 San Giuseppe Vesuviano (NA)",081 8271161,naic8hm005@istruzione.it,sì,https://www.icammendoladeamicis.edu.it,55,4.3,9
NAEE8HM017,primaria statale,Croce Rossa,IC Ammendola-De Amicis,San Giuseppe Vesuviano,NA,"Via Croce Rossa, 80047 San Giuseppe Vesuviano (NA)",081 8271161,naic8hm005@istruzione.it,sì,https://www.icammendoladeamicis.edu.it,201,4.3,9
NAEE8HM028,primaria statale,San Leonardo,IC Ammendola-De Amicis,San Giuseppe Vesuviano,NA,"Via San Leonardo 2, 80047 San Giuseppe Vesuviano (NA)",081 8271161,naic8hm005@istruzione.it,sì,https://www.icammendoladeamicis.edu.it,269,4.3,9
NA1A653005,infanzia paritaria,Fate e Folletti,,San Giuseppe Vesuviano,NA,"Via Lavinaio II Tratto 23, 80047 San Giuseppe Vesuviano (NA)",081 8283278,madsmads@virgilio.it,sì,,11,4.3,9
NA1A74100Q,infanzia paritaria,I Cuccioli,,San Giuseppe Vesuviano,NA,"Via Parco Ambrosio 54, 80047 San Giuseppe Vesuviano (NA)",081 2241609,i.cuccioli@libero.it,sì,,15,4.3,9
NA1A69100X,infanzia paritaria,L'Albero Azzurro,,San Giuseppe Vesuviano,NA,"Via del Tulipano 6, 80040 San Giuseppe Vesuviano (NA)",081 5294223,alfonsomigliaro@alice.it,no: indirizzo personale,,30,4.3,9
NA1A03500A,infanzia paritaria,La Scuola del Bambino,,San Giuseppe Vesuviano,NA,"Via Passanti 280 Rione Casilli, 80047 San Giuseppe Vesuviano (NA)",081 8271310,lascuoladelbambino@libero.it,sì,,74,4.3,9
NA1ASN500F,infanzia paritaria,Miele,,San Giuseppe Vesuviano,NA,"Via Aielli 4, 80047 San Giuseppe Vesuviano (NA)",,info@istitutomiele.it,sì,https://www.istitutomiele.it,115,4.3,9
NA1A36000N,infanzia paritaria,Piccole Ancelle di Cristo Re,,San Giuseppe Vesuviano,NA,"Via Marciotti 4, 80047 San Giuseppe Vesuviano (NA)",081 8271630,cristoreportici@libero.it,sì,,30,4.3,9
NA1A49300T,infanzia paritaria,Primo Incontro,,San Giuseppe Vesuviano,NA,"Via Rossilli 11, 80047 San Giuseppe Vesuviano (NA)",339 336 6917,primoincontro1969@libero.it,sì,,30,4.3,9
NA1A02600G,infanzia paritaria,Santa Maria la Scala,,San Giuseppe Vesuviano,NA,"Via Salvati 2, 80047 San Giuseppe Vesuviano (NA)",081 8273934,scuola.infanzialascala@virgilio.it,sì,,60,4.3,9
NA1EIE500T,primaria paritaria,Miele,,San Giuseppe Vesuviano,NA,"Via Aielli 4, 80047 San Giuseppe Vesuviano (NA)",,info@istitutomiele.it,sì,,97,4.3,9
NA1E136001,primaria paritaria,Piccole Ancelle di Cristo Re,,San Giuseppe Vesuviano,NA,"Via Marciotti 4, 80047 San Giuseppe Vesuviano (NA)",,cristoreportici@libero.it,sì,,68,4.3,9
NAAA855012,infanzia statale,Piazza D'Anna,IC D'Avino,Striano,NA,"Piazza D'Anna, 80040 Striano (NA)",335 548 1466,naic855005@istruzione.it,sì,https://www.istitutodavinostriano.edu.it,53,4.3,6
NAAA855023,infanzia statale,Via Risorgimento,IC D'Avino,Striano,NA,"Via Risorgimento, 80040 Striano (NA)",335 667 3983,naic855005@istruzione.it,sì,https://www.istitutodavinostriano.edu.it,173,4.3,6
NAEE855017,primaria statale,Via Sarno,IC D'Avino,Striano,NA,"Via Sarno, 80040 Striano (NA)",331 218 7103,naic855005@istruzione.it,sì,https://www.istitutodavinostriano.edu.it,442,4.3,6
NA1ALS500Q,infanzia paritaria,Il Paese delle Meraviglie,,Striano,NA,"Via Difesa 6, 80040 Striano (NA)",331 820 4530,coopilpaesedellemeraviglie@gmail.com,sì,,15,4.3,6
NA1A6C5006,infanzia paritaria,Il Paese delle Meraviglie,,Striano,NA,"Via Faricella I Traversa, 80040 Striano (NA)",,coopilpaesedellemeraviglie@gmail.com,sì,,32,4.3,6
NA1AAN500B,infanzia paritaria,Il Paese delle Meraviglie,,Striano,NA,"Via Palma 458, 80040 Striano (NA)",,coopilpaesedellemeraviglie@gmail.com,sì,,31,4.3,6
NA1AGG500U,infanzia paritaria,Miele,,Striano,NA,"Via Piano 78, 80040 Striano (NA)",081 19259312,info@scuolamiele.it,sì,,99,4.3,6
NA1EAN500C,primaria paritaria,Miele,,Striano,NA,"Via Piano 78, 80040 Striano (NA)",081 19259312,info@scuolamiele.it,sì,https://www.istitutomiele.it,106,4.3,6
NAAA8D2021,infanzia statale,Corpo Aggiunto,IC 1 Cangemi,Boscoreale,NA,"Via Luigi Oliva, 80041 Boscoreale (NA)",081 8581295,naic8d2003@istruzione.it,sì,https://www.ic1cangemiboscoreale.edu.it,153,5.2,8
NAAA8D201X,infanzia statale,Salomè,IC 1 Cangemi,Boscoreale,NA,"Via De Falco 38 Boscoreale, 80041 Boscoreale (NA)",081 5276937,naic8d2003@istruzione.it,sì,https://www.ic1cangemiboscoreale.edu.it,82,5.2,8
NAEE8D2015,primaria statale,Cangemi,IC 1 Cangemi,Boscoreale,NA,"Via F. Cangemi 41, 80041 Boscoreale (NA)",081 2774629,naic8d2003@istruzione.it,sì,https://www.ic1cangemiboscoreale.edu.it,304,5.2,8
NAEE8D2026,primaria statale,Salomè,IC 1 Cangemi,Boscoreale,NA,"Via Cangemi 41, 80041 Boscoreale (NA)",081 2774629,naic8d2003@istruzione.it,sì,https://www.ic1cangemiboscoreale.edu.it,129,5.2,8
NAAA8D301Q,infanzia statale,Piazza Vargas,IC 2 Francesco Dati,Boscoreale,NA,"Piazza Vargas, 80041 Boscoreale (NA)",081 5373900,naic8d300v@istruzione.it,sì,https://www.ic2datiboscoreale.edu.it,104,5.2,8
NAAA8D302R,infanzia statale,Settetermini,IC 2 Francesco Dati,Boscoreale,NA,"Via Settetermini-Piano Napoli, 80041 Boscoreale (NA)",081 5372802,naic8d300v@istruzione.it,sì,https://www.ic2datiboscoreale.edu.it,22,5.2,8
NAEE8D3022,primaria statale,De Prisco,IC 2 Francesco Dati,Boscoreale,NA,"Via N. De Prisco, 80041 Boscoreale (NA)",081 5372816,naic8d300v@istruzione.it,sì,https://www.ic2datiboscoreale.edu.it,178,5.2,8
NAEE8D3011,primaria statale,Gescal,IC 2 Francesco Dati,Boscoreale,NA,"Via Promiscua 1, 80041 Boscoreale (NA)",081 8612308,naic8d300v@istruzione.it,sì,https://www.ic2datiboscoreale.edu.it,92,5.2,8
NAEE8D3033,primaria statale,Settetermini,IC 2 Francesco Dati,Boscoreale,NA,"Via Sette Termini, 80041 Boscoreale (NA)",081 5372815,naic8d300v@istruzione.it,sì,https://www.ic2datiboscoreale.edu.it,22,5.2,8
NAAA8ED016,infanzia statale,Cangiani,IC 3 Castaldi-Rodari,Boscoreale,NA,"Via Cangiani, 80041 Boscoreale (NA)",081 2785332,naic8ed009@istruzione.it,sì,https://www.ic3castaldirodari.edu.it,94,5.2,8
NAAA8ED05A,infanzia statale,Passanti,IC 3 Castaldi-Rodari,Boscoreale,NA,"Via Passanti Scafati, 80041 Boscoreale (NA)",081 2781436,naic8ed009@istruzione.it,sì,https://www.ic3castaldirodari.edu.it,56,5.2,8
NAAA8ED049,infanzia statale,Pellegrini,IC 3 Castaldi-Rodari,Boscoreale,NA,"Via Passanti Flocco, 80041 Boscoreale (NA)",081 2774130,naic8ed009@istruzione.it,sì,https://www.ic3castaldirodari.edu.it,60,5.2,8
NAEE8ED01B,primaria statale,Marchesa,IC 3 Castaldi-Rodari,Boscoreale,NA,"Via Marchesa, 80041 Boscoreale (NA)",081 2778733,naic8ed009@istruzione.it,sì,https://www.ic3castaldirodari.edu.it,192,5.2,8
NAEE8ED04E,primaria statale,Passanti,IC 3 Castaldi-Rodari,Boscoreale,NA,"Via Passanti Scafati, 80041 Boscoreale (NA)",081 2785426,naic8ed009@istruzione.it,sì,https://www.ic3castaldirodari.edu.it,86,5.2,8
NAEE8ED03D,primaria statale,Pellegrini,IC 3 Castaldi-Rodari,Boscoreale,NA,"Via Passanti Flocco, 80041 Boscoreale (NA)",081 2774130,naic8ed009@istruzione.it,sì,https://www.ic3castaldirodari.edu.it,81,5.2,8
NA1A42800P,infanzia paritaria,Cappuccetto Rosso,,Boscoreale,NA,"Via Merolla 21, 80041 Boscoreale (NA)",081 8591517,smcappuccettorosso@libero.it,sì,,43,5.2,8
NA1AA4500H,infanzia paritaria,La Fabbrica dei Sogni,,Boscoreale,NA,"Via Cangiani 73, 80041 Boscoreale (NA)",081 8594340,,no: manca,,59,5.2,8
SAAA8A9019,infanzia statale,Collodi,IC San Marzano sul Sarno,San Marzano sul Sarno,SA,"Via Cenisio, 84010 San Marzano sul Sarno (SA)",081 955898,saic8a900c@istruzione.it,sì,https://www.icsanmarzano.edu.it,59,5.3,10
SAAA8A902A,infanzia statale,San Giovanni Paolo II,IC San Marzano sul Sarno,San Marzano sul Sarno,SA,"Piazza Amendola, 84010 San Marzano sul Sarno (SA)",081 957682,saic8a900c@istruzione.it,sì,https://www.icsanmarzano.edu.it,117,5.3,10
SAEE8A901E,primaria statale,Capoluogo,IC San Marzano sul Sarno,San Marzano sul Sarno,SA,"Piazza Amendola, 84010 San Marzano sul Sarno (SA)",081 957682,saic8a900c@istruzione.it,sì,https://www.icsanmarzano.edu.it,526,5.3,10
SA1A089005,infanzia paritaria,Umberto I,,San Marzano sul Sarno,SA,"Piazza Guerritore 2, 84010 San Marzano sul Sarno (SA)",081 955125,scuoladellinfanziaumberto1@virgilio.it,sì,,49,5.3,10
SAAA16103Q,infanzia statale,Abenante,1° Circolo Didattico Anna Ferrara,Scafati,SA,"Via della Resistenza, 84018 Scafati (SA)",081 8562619,saee16100t@istruzione.it,sì,https://www.1circoloscafati.edu.it,56,5.3,11
SAAA16116A,infanzia statale,Bagni,1° Circolo Didattico Anna Ferrara,Scafati,SA,"Via A. Manzoni, 84018 Scafati (SA)",081 8599442,saee16100t@istruzione.it,sì,https://www.1circoloscafati.edu.it,9,5.3,11
SAAA161104,infanzia statale,Mariconda,1° Circolo Didattico Anna Ferrara,Scafati,SA,"Via G.L. Bernini, 84018 Scafati (SA)",081 8506435,saee16100t@istruzione.it,sì,https://www.1circoloscafati.edu.it,33,5.3,11
SAAA161159,infanzia statale,Purgatorio,1° Circolo Didattico Anna Ferrara,Scafati,SA,"Via Dante Alighieri, 84018 Scafati (SA)",081 8599444,saee16100t@istruzione.it,sì,https://www.1circoloscafati.edu.it,23,5.3,11
SAAA16105T,infanzia statale,Sant'Antonio Abate,1° Circolo Didattico Anna Ferrara,Scafati,SA,"Via Sant'Antonio Abate, 84018 Scafati (SA)",081 8631737,saee16100t@istruzione.it,sì,https://www.1circoloscafati.edu.it,85,5.3,11
SAAA16104R,infanzia statale,Santa Maria delle Grazie,1° Circolo Didattico Anna Ferrara,Scafati,SA,"Via della Resistenza, 84018 Scafati (SA)",081 18752102,saee16100t@istruzione.it,sì,https://www.1circoloscafati.edu.it,71,5.3,11
SAAA16107X,infanzia statale,Via della Resistenza,1° Circolo Didattico Anna Ferrara,Scafati,SA,"Via Dela Resitenza, 84018 Scafati (SA)",081 8562619,saee16100t@istruzione.it,sì,https://www.1circoloscafati.edu.it,16,5.3,11
SAEE16102X,primaria statale,Bagni,1° Circolo Didattico Anna Ferrara,Scafati,SA,"Via Manzoni 53, 84018 Scafati (SA)",081 8599442,saee16100t@istruzione.it,sì,https://www.1circoloscafati.edu.it,81,5.3,11
SAEE16101V,primaria statale,Capoluogo,1° Circolo Didattico Anna Ferrara,Scafati,SA,"Via Sant'Antonio Abate, 84018 Scafati (SA)",081 8631737,saee16100t@istruzione.it,sì,https://www.1circoloscafati.edu.it,202,5.3,11
SAEE161086,primaria statale,Mariconda,1° Circolo Didattico Anna Ferrara,Scafati,SA,"Via G.L. Bernini, 84018 Scafati (SA)",081 8506435,saee16100t@istruzione.it,sì,https://www.1circoloscafati.edu.it,35,5.3,11
SAEE161031,primaria statale,Purgatorio,1° Circolo Didattico Anna Ferrara,Scafati,SA,"Via D. Alighieri 185, 84018 Scafati (SA)",081 8599444,saee16100t@istruzione.it,sì,https://www.1circoloscafati.edu.it,52,5.3,11
SAAA16310Q,infanzia statale,Alberto Manzi,3° Circolo Didattico Rosa Pisacane,Scafati,SA,"Via Michelangelo Nappi, 84018 Scafati (SA)",081 8506783,saee16300d@istruzione.it,sì,https://www.terzocircoloscafati.edu.it,44,5.3,11
SAAA163019,infanzia statale,Berardinetti,3° Circolo Didattico Rosa Pisacane,Scafati,SA,"Via lo Porto, 84018 Scafati (SA)",081 8504616,saee16300d@istruzione.it,sì,https://www.terzocircoloscafati.edu.it,47,5.3,11
SAAA16311R,infanzia statale,Franca e Vincenzo Marra,3° Circolo Didattico Rosa Pisacane,Scafati,SA,"Via Poggiomarino, 84018 Scafati (SA)",081 8593207,saee16300d@istruzione.it,sì,https://www.terzocircoloscafati.edu.it,27,5.3,11
SAAA16312T,infanzia statale,Marra Zaffaranelli,3° Circolo Didattico Rosa Pisacane,Scafati,SA,"Via Zaffaranelli 27, 84018 Scafati (SA)",081 8592187,saee16300d@istruzione.it,sì,https://www.terzocircoloscafati.edu.it,34,5.3,11
SAAA16307G,infanzia statale,San Pietro,3° Circolo Didattico Rosa Pisacane,Scafati,SA,"Via della Resistenza, 84018 Scafati (SA)",081 8562619,saee16300d@istruzione.it,sì,https://www.terzocircoloscafati.edu.it,47,5.3,11
SAAA16302A,infanzia statale,San Vincenzo,3° Circolo Didattico Rosa Pisacane,Scafati,SA,"Via Corbisiero, 84018 Scafati (SA)",081 8592181,saee16300d@istruzione.it,sì,https://www.terzocircoloscafati.edu.it,48,5.3,11
SAEE16305P,primaria statale,Alberto Manzi,3° Circolo Didattico Rosa Pisacane,Scafati,SA,"Via Michelangelo Nappi, 84018 Scafati (SA)",081 8506783,saee16300d@istruzione.it,sì,https://www.terzocircoloscafati.edu.it,97,5.3,11
SAEE16309V,primaria statale,Badia,3° Circolo Didattico Rosa Pisacane,Scafati,SA,"Via lo Porto 132, 84018 Scafati (SA)",081 8504616,saee16300d@istruzione.it,sì,https://www.terzocircoloscafati.edu.it,157,5.3,11
SAEE163101,primaria statale,Marra Zaffaranelli,3° Circolo Didattico Rosa Pisacane,Scafati,SA,"Via Zaffaranelli 110, 84018 Scafati (SA)",081 8592187,saee16300d@istruzione.it,sì,https://www.terzocircoloscafati.edu.it,75,5.3,11
SAEE16304N,primaria statale,Pisacane,3° Circolo Didattico Rosa Pisacane,Scafati,SA,"Via Corbisiero, 84018 Scafati (SA)",081 8592181,saee16300d@istruzione.it,sì,https://www.terzocircoloscafati.edu.it,75,5.3,11
SAEE16308T,primaria statale,San Pietro,3° Circolo Didattico Rosa Pisacane,Scafati,SA,"Via Giosue Carducci, 84018 Scafati (SA)",081 8508211,saee16300d@istruzione.it,sì,https://www.terzocircoloscafati.edu.it,156,5.3,11
SAAA88201R,infanzia statale,Maria Cristina di Savoia,IC Samuele Falco,Scafati,SA,"Via Genova, 84018 Scafati (SA)",081 8508814,saic88200x@istruzione.it,sì,https://www.icsamuelefalco.edu.it,89,5.3,11
SAEE882034,primaria statale,Ferdinando II Borbone,IC Samuele Falco,Scafati,SA,"Via Genova, 84018 Scafati (SA)",081 8508814,saic88200x@istruzione.it,sì,https://www.icsamuelefalco.edu.it,445,5.3,11
SAAA8CA01X,infanzia statale,Via Martiri d'Ungheria,IC Senatore-Martiri,Scafati,SA,"Via Martiri d'Ungheria 110, 84018 Scafati (SA)",081 8630367,saic8ca003@istruzione.it,sì,https://www.icsenatoremdu.it,81,5.3,11
SAAA8CA021,infanzia statale,Via Tenente Iorio,IC Senatore-Martiri,Scafati,SA,"Via Martiri d'Ungheria 75, 84018 Scafati (SA)",081 8562864,saic8ca003@istruzione.it,sì,,46,5.3,11
SAEE8CA015,primaria statale,Martiri d'Ungheria,IC Senatore-Martiri,Scafati,SA,"Via Martiri d'Ungheria 110, 84018 Scafati (SA)",081 8562863,saic8ca003@istruzione.it,sì,https://www.icsenatoremdu.it,320,5.3,11
SAEE8CA026,primaria statale,Tenente Iorio,IC Senatore-Martiri,Scafati,SA,"Via Martiri d'Ungheria 75, 84018 Scafati (SA)",081 8562864,saic8ca003@istruzione.it,sì,https://www.icsenatoremdu.it,152,5.3,11
SAEE88301T,primaria statale,Santa Maria delle Grazie,IC Tommaso Anardi,Scafati,SA,"Via della Resistenza, 84018 Scafati (SA)",081 8507804,saic88300q@istruzione.it,sì,https://www.ictommasoanardi.edu.it,347,5.3,11
SA1A183003,infanzia paritaria,Baby Hyland,,Scafati,SA,"Via F. Cozzolino 36 Sosp.att. 2008/09 Decr 17857 Dr, 84018 Scafati (SA)",081 8630783,pinad1970@libero.it,no: indirizzo personale,,33,5.3,11
SA1A525007,infanzia paritaria,Eureka,,Scafati,SA,"Via Sant'Antonio Abate 95, 84018 Scafati (SA)",081 19252619,scuolainfanziaeureka@gmail.com,sì,,33,5.3,11
